NAME,DECLARATION,DESCRIPTION
FreePersistentAuxiliary,static CORE_API void FreePersistentAuxiliary(void* InPtr);,Persistent Auxiliary allocator is obsolete and is replaced by a GetPersistentLinearAllocator()
FRHIRayTracingCommandList,typedef FRHICommandListImmediate FRHIRayTracingCommandList;,Use FRHICommandList instead.
FRHIResourceCreateInfo,"FRHIResourceCreateInfo(const TCHAR* InDebugName, FResourceBulkDataInterface* InBulkData)",Please use FRHITextureCreateDesc for creating Textures with Bulk Data
FRHIResourceCreateInfo,"FRHIResourceCreateInfo(const TCHAR* InDebugName, const FClearValueBinding& InClearValueBinding)",Please use FRHITextureCreateDesc for creating Textures with a Clear Value Binding
FRHIResourceCreateInfo,FRHIResourceCreateInfo(uint32 InExtData),Please use FRHITextureCreateDesc for creating Textures with Ext Data
FRunningTileElement,typedef TRunningTileElement<FRecastTileGeneratorWrapper> FRunningTileElement;,FRunningTileElement is deprecated. Please use TRunningTileElement<FRecastTileGeneratorWrapper> instead.
FShowMenuCommand,"FShowMenuCommand(TSharedPtr<FUICommandInfo> InShowMenuItem, const FText& InLabelOverride)",Use the version of the show flags builder in FShowFlagMenuCommands
FShowMenuCommand,FShowMenuCommand(TSharedPtr<FUICommandInfo> InShowMenuItem),Use the version of the show flags builder in FShowFlagMenuCommands
FSpawnableRestoreState,FSpawnableRestoreState(UMovieScene* MovieScene);,This constructor is deprecated in favor of passing in shared playback state
FSubSequencePath,"MOVIESCENE_API explicit FSubSequencePath(FMovieSceneSequenceID LeafID, IMovieScenePlayer& Player);",Please use the version that takes an FSharedPlaybackState
FTensorBindingGPU,typedef FTensorBindingCPU FTensorBindingGPU;,Use UE::NNE::FTensorBindingCPU instead.
FUE5LWCRenderingStreamObjectVersion,typedef FNaniteResearchStreamObjectVersion FUE5LWCRenderingStreamObjectVersion;,"FUE5LWCRenderingStreamObjectVersion has been repurposed, use FNaniteResearchStreamObjectVersion instead"
FullPlayRange,FMovieSceneFrameRange FullPlayRange;,Please use GetSequence()->GetMovieScene()->GetPlaybackRange().
FViewModelHierarchyOperation,explicit FViewModelHierarchyOperation(const TSharedPtr<ViewModelType>& InAnyModel),Please use the FSharedViewModelData overload by passing ->GetSharedData()
FWidgetStateBitfield,"UMG_API FWidgetStateBitfield(const FName InStateName, const uint8 InValue);",FWidgetStateBitfield currently no longer supports enum states
FXPBDAnisotropicBendingConstraints,"FXPBDAnisotropicBendingConstraints(const FSolverParticles& InParticles,",Use constructor with BucklingRatioMultipliers
FXPBDBendingConstraints,"FXPBDBendingConstraints(const FSolverParticles& InParticles,",Use constructor with BucklingRatioMultipliers
GatherData,"NAVIGATIONSYSTEM_API void GatherData(const ARecastNavMesh* NavMesh, int32 InNavDetailFlags, const TArray<int32>& TileSet);",Use the version of this function that takes an array of FNavTileRefs instead
GatherSharedInputs,void GatherSharedInputs(,"GatherSharedInputs no longer processes external includes, as these are not needed by SCW anymore"
GatherSharedInputsAnsi,void GatherSharedInputsAnsi(,GatherSharedInputsAnsi is no longer needed since external includes are no longer serialized; use GetSharedInputs
GenerateCompressedLayers,NAVIGATIONSYSTEM_API virtual bool GenerateCompressedLayers(FNavMeshBuildContext& BuildContext);,Use the overload with dtLinkBuilderData instead.
GenerateMips,RHI_API void GenerateMips(FRHITexture*);,GenerateMips on RHI command lists is deprecated and no longer functions. Use the FGenerateMips helper class from the RenderCore module to generate mips on textures.
GenerateNavigationData,NAVIGATIONSYSTEM_API bool GenerateNavigationData(FNavMeshBuildContext& BuildContext);,Use the overload with dtLinkBuilderData instead.
GenerateNavigationDataLayer,"NAVIGATIONSYSTEM_API bool GenerateNavigationDataLayer(FNavMeshBuildContext& BuildContext, FTileCacheCompressor& TileCompressor, FTileCacheAllocator& GenNavAllocator, FTileGenerationContext& GenerationContext, int32 LayerIdx);",Use the overload with dtLinkBuilderData instead.
GenerateNavigationDataTimeSliced,NAVIGATIONSYSTEM_API ETimeSliceWorkResult GenerateNavigationDataTimeSliced(FNavMeshBuildContext& BuildContext);,Use the overload with dtLinkBuilderData instead.
GenerateRecastFilter,"NAVIGATIONSYSTEM_API void GenerateRecastFilter(FNavMeshBuildContext& BuildContext, FTileRasterizationContext& RasterContext);",Use the new version without RasterContext instead.
GenerateRecastFilterTimeSliced,"NAVIGATIONSYSTEM_API ETimeSliceWorkResult GenerateRecastFilterTimeSliced(FNavMeshBuildContext& BuildContext, FTileRasterizationContext& RasterContext);",Use the new version without RasterContext instead.
GetAccumualtedPayloadActivityInfo,virtual FPayloadActivityInfo GetAccumualtedPayloadActivityInfo() const,Use IVirtualizationSystem::GetSystemStatistics instead
GetAction,ENGINE_API ActionGroup GetAction(int32 Index);,"FGraphActionListBuilderBase::ActionGroup has been deprecated, access TSharedPtr<FEdGraphSchemaAction> directly using GetSchemaAction"
GetActionFilteredWeight,"virtual float GetActionFilteredWeight(const FGraphActionListBuilderBase::ActionGroup& InCurrentAction, const TArray<FString>& InFilterTerms, const TArray<FString>& InSanitizedFilterTerms, const TArray<UEdGraphPin*>& DraggedFromPins) const override;","FGraphActionListBuilderBase::ActionGroup weight calculation was always performed on the first action, provide that if scoring a FGraphActionListBuilderBase::ActionGroup, or just provide the FEdGraphSchemaAction"
GetActionFilteredWeight,"virtual float GetActionFilteredWeight(const FGraphActionListBuilderBase::ActionGroup& InCurrentAction, const TArray<FString>& InFilterTerms, const TArray<FString>& InSanitizedFilterTerms, const TArray<UEdGraphPin*>& DraggedFromPins) const override;","FGraphActionListBuilderBase::ActionGroup weight calculation was always performed on the first action, provide that if scoring a FGraphActionListBuilderBase::ActionGroup, or just provide the FEdGraphSchemaAction"
GetActionFilteredWeight,"ENGINE_API virtual float GetActionFilteredWeight(const FGraphActionListBuilderBase::ActionGroup& InCurrentAction, const TArray<FString>& InFilterTerms, const TArray<FString>& InSanitizedFilterTerms, const TArray<UEdGraphPin*>& DraggedFromPins) const;","FGraphActionListBuilderBase::ActionGroup weight calculation was always performed on the first action, provide that if scoring a FGraphActionListBuilderBase::ActionGroup, or just provide the FEdGraphSchemaAction"
GetActiveRunner,FMovieSceneEntitySystemRunner* GetActiveRunner() const { return &GetRunner().Get(); },Please use GetRunner()
GetAlignmentOverrides,"virtual bool GetAlignmentOverrides(EHorizontalAlignment& OutHorizontalAlignment, EVerticalAlignment& OutVerticalAlignment, bool& bOutAutoWidth) const { return false; }",Use the version that outputs FMenuEntryStyleParams.
GetAllKeypointStates,"virtual bool GetAllKeypointStates(EControllerHand Hand, TArray<FVector>&OutPositions, TArray<FQuat>&OutRotations, TArray<float>&OutRadii) const { return false; } // No longer pure virtual so that it can be removed.",Deprecated in favor of the version that explicitly returns OutIsTracked
GetAllowList,"const TMap<FString, FPermissionListOwners>& GetAllowList() const;",GetAllowList is deprecated. Use GetAllowListEntries instead.
GetAssetDataMap,const FConstAssetDataMap& GetAssetDataMap() const;,FAssetDataMap is a complicated implementation detail of FAssetRegistryState. Use the enumeration functions on FAssetRegistryState instead of using it directly.
GetAssetsByClassPathName,const TArray<const FAssetData*>& GetAssetsByClassPathName(const FTopLevelAssetPath ClassPathName) const;,Use EnumerateAssetsByClassPathName instead.
GetAssetsByPackageName,TArrayView<FAssetData const* const> GetAssetsByPackageName(const FName PackageName) const;,Use EnumerateAssetsByPackageName or CopyAssetsByPackageName instead.
GetAssetsByTagName,const TArray<const FAssetData*>& GetAssetsByTagName(const FName TagName) const;,Use EnumerateAssetsByTagName instead.
GetAutoCompleteSuggestions,"virtual void GetAutoCompleteSuggestions(const TCHAR* Input, TArray<FString>& Out){};",Use GetSuggestedCompletions instead
GetBoneSelectedMaterialID,const int GetBoneSelectedMaterialID() const,Bone Selected Material does not have a material ID anymore.
GetBoneSelectedMaterialIndex,FORCEINLINE const int32 GetBoneSelectedMaterialIndex() const { return BoneSelectedMaterialIndex; },Bone Selected Material does not have a material index anymore.
GetBuffer,virtual const FSoundBuffer* GetBuffer() const { return nullptr; },The Buffer member no longer exists.  Use GetNumChannels() to qeury channel count.
GetBulkDataArchive,FFileRegionMemoryWriter& GetBulkDataArchive(),Use the overload that takes a FBulkDataCookedIndex
GetCellEffectiveWantedState,EDataLayerRuntimeState GetCellEffectiveWantedState(int32 InDataLayersStateEpoch) const { return EDataLayerRuntimeState::Unloaded; },Use version that takes FWorldPartitionStreamingContext instead.
GetCellEffectiveWantedState,EDataLayerRuntimeState GetCellEffectiveWantedState() const { return EDataLayerRuntimeState::Unloaded; },Use version that takes FWorldPartitionStreamingContext instead.
GetCells,"ENGINE_API void GetCells(const TArray<FWorldPartitionStreamingSource>& Sources, UWorldPartitionRuntimeHash::FStreamingSourceCells& OutActivateCells, UWorldPartitionRuntimeHash::FStreamingSourceCells& OutLoadCells, bool bEnableZCulling) const {}",Use version that takes FWorldPartitionStreamingContext instead.
GetChars,CORE_API const TCHAR* GetChars() const;,GetChars is deprecated as FTextKey may now store its internal data as UTF-8. Use ToString/AppendString instead.
GetCinematicShotCamera,TWeakObjectPtr<AActor> GetCinematicShotCamera() const;,Use FCameraCutPlaybackCapability::LastViewTargetCamera instead.
GetCloth,virtual TSharedPtr< IDatasmithClothElement > GetCloth(int32 InIndex) override;,The experimental Cloth importer is no longer supported.
GetCloth,virtual const TSharedPtr< IDatasmithClothElement >& GetCloth(int32 InIndex) const override;,The experimental Cloth importer is no longer supported.
GetCloth,virtual TSharedPtr< IDatasmithClothElement > GetCloth(int32 InIndex) = 0;,The experimental Cloth importer is no longer supported.
GetCloth,virtual const TSharedPtr< IDatasmithClothElement >& GetCloth(int32 InIndex) const = 0;,The experimental Cloth importer is no longer supported.
GetClothesCount,virtual int32 GetClothesCount() const override;,The experimental Cloth importer is no longer supported.
GetClothesCount,virtual int32 GetClothesCount() const = 0;,The experimental Cloth importer is no longer supported.
GetCollisionMaterial,const FPBDCollisionConstraintMaterial& GetCollisionMaterial() const { return Material; },Use specific material property getters instead
GetComponentTypeFilter,virtual TSubclassOf<UActorComponent> GetComponentTypeFilter() const { return nullptr; },Use version with ObjectContext instead
GetCompressedBufferSize,"virtual int32 GetCompressedBufferSize(int32 UncompressedSize, int32 CompressionData) {return -1;};",Switch to 64 bit version for memory sizes
GetCompressionFormatFromDeprecatedFlags,CORE_API static FName GetCompressionFormatFromDeprecatedFlags(ECompressionFlags DeprecatedFlags);,Use the direct FName instead e.g NAME_Oodle
GetCookData,FArchiveCookData* GetCookData(),Use GetCookContext or CookingTarget or GetSavePackageData.
GetCookData,FArchiveCookData* GetCookData(),Use GetCookContext or CookingTarget or GetSavePackageData
GetCookedEditorLocalizationPaths,static TArray<FString> GetCookedEditorLocalizationPaths() { return TArray<FString>(); },Cooked editor localization path no longer exist. Cooked editors now load game localization paths.
GetCurrentInputDecay,ENGINE_API const float GetCurrentInputDecay(FNetworkPhysicsData* PhysicsData);,"Deprecated, use FAsyncNetworkPhysicsComponent::GetCurrentInputDecay instead."
GetCustomThreadPool,virtual FQueuedThreadPool* GetCustomThreadPool() const { return GThreadPool; },GetCustomThreadPool() is no longer supported.
GetDataForObject,NAVIGATIONSYSTEM_API const FNavigationRelevantData* GetDataForObject(const UObject& Object) const;,Use GetDataForElement instead.
GetDataForObject,NAVIGATIONSYSTEM_API const FNavigationRelevantData* GetDataForObject(const UObject& Object) const;,Use GetDataForElement instead.
GetDatasmithClothFromFile,DATASMITHCORE_API FDatasmithPackedCloths GetDatasmithClothFromFile(const FString& Path);,The experimental Cloth importer is no longer supported.
GetDataStorage,TYPEDELEMENTFRAMEWORK_API const IEditorDataStorageProvider* GetDataStorage() const;,Function has moved to modular features. Use UE::Editor::DataStorage::GetDataStorageFeature instead.
GetDataStorageCompatibility,TYPEDELEMENTFRAMEWORK_API const IEditorDataStorageCompatibilityProvider* GetDataStorageCompatibility() const;,Function has moved to modular features. Use UE::Editor::DataStorage::GetDataStorageFeature instead.
GetDataStorageUi,TYPEDELEMENTFRAMEWORK_API const IEditorDataStorageUiProvider* GetDataStorageUi() const;,Function has moved to modular features. Use UE::Editor::DataStorage::GetDataStorageFeature instead.
GetDebugGeometryForTile,"NAVIGATIONSYSTEM_API bool GetDebugGeometryForTile(FRecastDebugGeometry& OutGeometry, int32 TileIndex) const;",Use the version of this function that takes a FNavTileRef instead.
GetDebugGeometryForTile,"NAVIGATIONSYSTEM_API bool GetDebugGeometryForTile(FRecastDebugGeometry& OutGeometry, int32 TileIndex) const;",Use the version of the function that takes a FNavTileRef instead.
GetDebugPolyEdges,"NAVIGATIONSYSTEM_API void GetDebugPolyEdges(const dtMeshTile& Tile, bool bInternalEdges, bool bNavMeshEdges, TArray<FVector>& InternalEdgeVerts, TArray<FVector>& NavMeshEdgeVerts) const;",Use GetTilePolyEdges instead.
GetDefaultCompressionQuality,ENGINE_API int32 GetDefaultCompressionQuality() const;,Default Compression Quality has moved to SoundWave class defaults
GetDefaultTooltipForFunction,static FString GetDefaultTooltipForFunction(const UFunction* Function);,Moved to ObjectTools::GetDefaultTooltipForFunction.
GetDenyList,"const TMap<FString, FPermissionListOwners>& GetDenyList() const;",GetDenyList is deprecated. Use GetDenyListEntries instead.
GetDisplayPrimaryBlue,virtual FVector2d GetDisplayPrimaryBlue() const,"GetDisplayPrimaryBlue is deprecated, please use GetMasteringDisplayColorSpace instead."
GetDisplayPrimaryGreen,virtual FVector2d GetDisplayPrimaryGreen() const,"GetDisplayPrimaryGreen is deprecated, please use GetMasteringDisplayColorSpace instead."
GetDisplayPrimaryRed,virtual FVector2d GetDisplayPrimaryRed() const,"GetDisplayPrimaryRed is deprecated, please use GetMasteringDisplayColorSpace instead."
GetDuration,float GetDuration() const { return 0.f; },"Animation lengh no longer has a single, consistent length if there is timewarp."
GetDynamicRayTracingInstances,"virtual void GetDynamicRayTracingInstances(struct FRayTracingMaterialGatheringContext& Context, TArray<struct FRayTracingInstance>& OutRayTracingInstances) {}",Use FRayTracingInstanceCollector instead.
GetEditorSettings,LANDSCAPE_API FLandscapeEditorLayerSettings& GetEditorSettings() const;,"This property has been deprecated, please use the GetTargetLayerSettings instead"
GetEntityCollection,const FMassArchetypeEntityCollection& GetEntityCollection() const;,This function is now deprecated since FEntityCreationContext can contain more than a single collection now. Use GetEntityCollections instead.
GetExternalPackage,static UPackage* GetExternalPackage(const ISceneOutlinerTreeItem& TreeItem);,FSceneOutlinerHelpers::GetExternalPackage has been deprecated implement/use ISceneOutlinerTreeItem::GetPackageName instead
GetExternalPackageName,static FString GetExternalPackageName(const ISceneOutlinerTreeItem& TreeItem);,FSceneOutlinerHelpers::GetExternalPackageName has been deprecated implement/use ISceneOutlinerTreeItem::GetPackageName instead
GetForceRateImage,"FRDGTextureRef GetForceRateImage(FRDGBuilder& GraphBuilder, const FSceneViewFamily& ViewFamily, int RateIndex = 0,","This version of GetForceRateImage is deprecated, please use GetForceRateImage(FRDGBuilder& GraphBuilder, const FSceneViewFamily& ViewFamily, int RateIndex, bool bGetSoftwareImage) instead."
GetForceUpdateDynamicDataImmediately,bool GetForceUpdateDynamicDataImmediately() const { return true; },This is no longer relevant. Dynamic data is always updated immediately.
GetGamutToXYZMatrix,virtual FMatrix44d GetGamutToXYZMatrix() const,"GetGamutToXYZMatrix is deprecated, please use GetSourceColorSpace instead."
GetGlobalShaderMapDDCKey,extern ENGINE_API const FString& GetGlobalShaderMapDDCKey();,Use GetGlobalShaderMapDDCGuid
GetHasBeenSimplified,bool GetHasBeenSimplified() const;,This functionality has been removed. Use FSkeletalMeshLODInfo::bHasBeenSimplified instead.
GetHasBeenSimplifiedMemberName,static FName GetHasBeenSimplifiedMemberName(),This functionality has been removed. Use FSkeletalMeshLODInfo::bHasBeenSimplified instead.
GetInputHistory,TSharedPtr<Chaos::FBaseRewindHistory>& GetInputHistory() { return GetInputHistory_Internal(); },"Deprecated, use GetInputHistory_Internal() or GetInputHistory_External() instead"
GetInputsView,ENGINE_API virtual TArrayView<FExpressionInput*> GetInputsView();,Use FExpressionInputIterator instead or GetInput() directly.
GetInstantiatedMetaModifier,"ENGINE_API FCompositeNavModifier GetInstantiatedMetaModifier(const FNavAgentProperties* NavAgent, TWeakObjectPtr<UObject> WeakOwnerPtr) const;",Use the version taking a const reference instead.
GetIntegerValue,RENDERCORE_API int32 GetIntegerValue(FName Name) const;,"Accessing definition values via FShaderCompilerEnvironment is no longer allowed outside of the core shader system.\n""
						""Please use Get/SetCompileArgument mechanism for additional properties required by compilation."
GetIntegerValue,"RENDERCORE_API int32 GetIntegerValue(FShaderCompilerDefineNameCache& NameCache, int32 ResultIfNotFound = 0) const;","Accessing definition values via FShaderCompilerEnvironment is no longer allowed outside of the core shader system.\n""
						""Please use Get/SetCompileArgument mechanism for additional properties required by compilation."
GetKeys,"virtual void GetKeys(const FCurveEditor& CurveEditor, double MinTime, double MaxTime, double MinValue, double MaxValue, TArray<FKeyHandle>& OutKeyHandles) const",Implement the version that doesn't take the Curve Editor parameter.
GetLandscapeSplinesReservedLayer,LANDSCAPE_API struct FLandscapeLayer* GetLandscapeSplinesReservedLayer();,Use FindLayerOfType(ULandscapeEditLayerSplines::StaticClass()) instead
GetLandscapeSplinesReservedLayer,LANDSCAPE_API const struct FLandscapeLayer* GetLandscapeSplinesReservedLayer() const;,Use FindLayerOfType(ULandscapeEditLayerSplines::StaticClass()) instead
GetLastError,virtual FText GetLastError() const override { return FText::GetEmpty(); },Deprecated for thread safety reasons.
GetLastError,virtual FText GetLastError() const = 0;,Deprecated for thread safety reasons. Functions which populated this value now take an optional FText* out parameter.
GetLastSubmitTime,double GetLastSubmitTime() { return 0.0; },GetLastSubmitTime is no longer used
GetLayer,LANDSCAPE_API FLandscapeLayer* GetLayer(int32 InLayerIndex) { return nullptr; },"This has moved to private (GetLayerInternal), use the appropriate setters to mutate the edit layer"
GetLayer,LANDSCAPE_API const FLandscapeLayer* GetLayer(int32 InLayerIndex) const;,Use GetLayerConst
GetLayer,LANDSCAPE_API const FLandscapeLayer* GetLayer(const FGuid& InLayerGuid) const;,Use GetLayerConst
GetLayer,LANDSCAPE_API const FLandscapeLayer* GetLayer(const FName& InLayerName) const;,Use GetLayerConst
GetLayerBufferOffset,virtual uint32 GetLayerBufferOffset(uint32 LayerIndex) const,FRHIRayTracingScene layers are deprecated. Create one FRHIRayTracingScene per layer instead.
GetLayerEditorSettings,LANDSCAPE_API FLandscapeTargetLayerSettings& GetLayerEditorSettings(ULandscapeLayerInfoObject* LayerInfo) const;,"This property has been deprecated, please use the GetTargetLayerSettings(ULandscapeLayerInfoObject* LayerInfo) instead"
GetLODInfoArray,virtual TArray<FSkeletalMeshLODInfo>& GetLODInfoArray() override,Use GetLODInfo and GetLODNum instead.
GetLODInfoArray,virtual const TArray<FSkeletalMeshLODInfo>& GetLODInfoArray() const override,Use GetLODInfo and GetLODNum instead.
GetLODInfoArray,ENGINE_API virtual TArray<FSkeletalMeshLODInfo>& GetLODInfoArray(),Use GetLODInfo and GetLODNum instead.
GetLODInfoArray,ENGINE_API virtual const TArray<FSkeletalMeshLODInfo>& GetLODInfoArray() const,Use GetLODInfo and GetLODNum instead.
GetMapTests,"virtual void GetMapTests(bool bEditorOnlyTests, TArray<FString>& OutBeautifiedNames, TArray<FString>& OutTestCommands, TArray<FString>& OutTestMapAssets) const = 0;",GetMapTests() with four parameters has been deprecated.
GetMaterialShaderMapDDCKey,extern ENGINE_API const FString& GetMaterialShaderMapDDCKey();,Use GetMaterialShaderMapDDCGuid
GetMaterialShaderMapKeyString,"inline FString GetMaterialShaderMapKeyString(const FMaterialShaderMapId& ShaderMapId, EShaderPlatform Platform, bool bIncludeKeyStringShaderDependencies = true)",GetMaterialShaderMapKeyString now requires passing an FMaterialShaderParameters instance as input.
GetMaximumCompressedSize,"CORE_API static int32 GetMaximumCompressedSize(FName FormatName, int32 UncompressedSize, ECompressionFlags Flags = COMPRESS_NoFlags, int32 CompressionData = 0);",Use the 64 bit version
GetMemoryMappedBulkDataArchive,FFileRegionMemoryWriter& GetMemoryMappedBulkDataArchive(),Use the overload that takes a FBulkDataCookedIndex
GetMotionControllerData,"virtual void GetMotionControllerData(UObject* WorldContext, const EControllerHand Hand, FXRMotionControllerData& MotionControllerData) = 0;",Deprecated along with UHeadMountedDisplayFunctionLibrary::GetMotionControllerData
GetMutableDataForObject,NAVIGATIONSYSTEM_API FNavigationRelevantData* GetMutableDataForObject(const UObject& Object);,Use GetMutableDataForElement instead.
GetMutableDataForObject,NAVIGATIONSYSTEM_API FNavigationRelevantData* GetMutableDataForObject(const UObject& Object);,Use GetMutableDataForElement instead.
GetMutableDataStorage,TYPEDELEMENTFRAMEWORK_API IEditorDataStorageProvider* GetMutableDataStorage();,Function has moved to modular features. Use UE::Editor::DataStorage::GetMutableDataStorageFeature instead.
GetMutableDataStorageCompatibility,TYPEDELEMENTFRAMEWORK_API IEditorDataStorageCompatibilityProvider* GetMutableDataStorageCompatibility();,Function has moved to modular features. Use UE::Editor::DataStorage::GetMutableDataStorageFeature instead.
GetMutableDataStorageUi,TYPEDELEMENTFRAMEWORK_API IEditorDataStorageUiProvider* GetMutableDataStorageUi();,Function has moved to modular features. Use UE::Editor::DataStorage::GetMutableDataStorageFeature instead.
GetNavMeshTileBounds,NAVIGATIONSYSTEM_API FBox GetNavMeshTileBounds(int32 TileIndex) const;,Use the version of this function on ARecastNavMesh that takes a FNavTileRef instead.
GetNavMeshTileBounds,NAVIGATIONSYSTEM_API FBox GetNavMeshTileBounds(int32 TileIndex) const;,Use the version of this function that takes a FNavTileRef instead.
GetNavmeshTileResolution,"NAVIGATIONSYSTEM_API bool GetNavmeshTileResolution(int32 TileIndex, ENavigationDataResolution& OutResolution) const;",Use the version of this function that takes a FNavTileRef instead.
GetNavMeshTilesAt,"NAVIGATIONSYSTEM_API void GetNavMeshTilesAt(int32 TileX, int32 TileY, TArray<int32>& Indices) const;",Use the version of this function on ARecastNavMesh that takes an array of FNavTileRefs instead.
GetNavMeshTilesAt,"NAVIGATIONSYSTEM_API void GetNavMeshTilesAt(int32 TileX, int32 TileY, TArray<int32>& Indices) const;",Use the version of this function that takes an array of FNavTileRefs instead.
GetNavMeshTilesIn,"NAVIGATIONSYSTEM_API void GetNavMeshTilesIn(const TArray<FBox>& InclusionBounds, TArray<int32>& Indices) const;",Use the version of the function that takes an array of FNavTileRefs instead
GetNavMeshTileXY,"NAVIGATIONSYSTEM_API bool GetNavMeshTileXY(int32 TileIndex, int32& OutX, int32& OutY, int32& OutLayer) const;",Use the version of this function on ARecastNavMesh that takes a FNavTileRef instead.
GetNavMeshTileXY,"NAVIGATIONSYSTEM_API bool GetNavMeshTileXY(int32 TileIndex, int32& OutX, int32& OutY, int32& Layer) const;",Use the version of this function that takes a FNavTileRef instead.
GetNavOctreeElementData,"NAVIGATIONSYSTEM_API bool GetNavOctreeElementData(const UObject& NodeOwner, int32& DirtyFlags, FBox& DirtyBounds);",Use the version taking ENavigationDirtyFlag& and FNavigationElementHandle as parameter instead.
GetNavOctreeElementData,"NAVIGATIONSYSTEM_API bool GetNavOctreeElementData(const UObject& NodeOwner, int32& DirtyFlags, FBox& DirtyBounds);",Use the version taking FNavigationElement instead.
GetNextRegistrationSerialNumber,static int32 GetNextRegistrationSerialNumber() { return -1; },GetNextRegistrationSerialNumber is no longer used
GetNonSpatiallyLoadedCells,"ENGINE_API void GetNonSpatiallyLoadedCells(TSet<const UWorldPartitionRuntimeCell*>& OutActivateCells, TSet<const UWorldPartitionRuntimeCell*>& OutLoadCells) const {}",Use version that takes FWorldPartitionStreamingContext instead.
GetObjectsNavOctreeId,NAVIGATIONSYSTEM_API const FOctreeElementId2* GetObjectsNavOctreeId(const UObject& Object) const;,Use GetNavOctreeIdForElement instead.
GetObjectsNavOctreeId,NAVIGATIONSYSTEM_API const FOctreeElementId2* GetObjectsNavOctreeId(const UObject& Object) const;,Use GetNavOctreeIdForElement instead.
GetOptionalBulkDataArchive,FFileRegionMemoryWriter& GetOptionalBulkDataArchive(),Use the overload that takes a FBulkDataCookedIndex
GetOrCreateConstSharedFragmentByHash,"const FConstSharedStruct& GetOrCreateConstSharedFragmentByHash(const uint32 Hash, const T& Fragment)",This method will no longer be exposed. Use GetOrCreateConstSharedFragment instead.
GetOrCreateMetadataBufferSRV,virtual FRHIShaderResourceView* GetOrCreateMetadataBufferSRV(FRHICommandListImmediate& RHICmdList),Use GetOrCreateInlineBufferSRV on the FRHIShaderBindingTable instead of the Scene
GetOrCreateSharedFragmentByHash,"const FSharedStruct& GetOrCreateSharedFragmentByHash(const uint32 Hash, TArgs&&... InArgs)",This method will no longer be exposed. Use GetOrCreateSharedFragment instead.
GetOutdatedProxies,"LANDSCAPE_API TArray<ALandscapeProxy*> GetOutdatedProxies(UE::Landscape::EOutdatedDataFlags InMatchingOutdatedDataFlags, bool bInMustMatchAllFlags) const;",Use GetOutdatedProxyDetails
GetOwner,ENGINE_API const UObject* GetOwner() const;,Use SourceElement instead.
GetOwner,FORCEINLINE UObject* GetOwner(bool bEvenIfPendingKill = false) const,Use GetSourceElement instead.
GetOwnerPtr,ENGINE_API TWeakObjectPtr<UObject> GetOwnerPtr() const;,Use SourceElement instead.
GetPayloadActivityInfo,virtual void GetPayloadActivityInfo(GetPayloadActivityInfoFuncRef Func) const,Use IVirtualizationSystem::GetBackendStatistics instead
GetPinnedItemsVisiblity,SLATE_API EVisibility GetPinnedItemsVisiblity() const;,The Pinned items visibility is no more an attribute.
GetPinToRemove,virtual UE::Dataflow::FPin GetPinToRemove() const { return UE::Dataflow::FPin::InvalidPin; },Use GetPinsToRemove method instead
GetPlatformOfflineCompilerPath,MATERIALEDITOR_API static FString GetPlatformOfflineCompilerPath(const EShaderPlatform ShaderPlatform);,GetPlatformOfflineCompilerPath is no longer used; Use GetPlatformOfflineCompilerSettings instead.
GetPlayer,MOVIESCENE_API IMovieScenePlayer* GetPlayer() const;,The player interface is now optional and will be deprecated in a future relase. Please use FPlayerIndexPlaybackCapability::GetPlayer()
GetPlayerIndex,MOVIESCENE_API uint16 GetPlayerIndex() const;,The player interface is now optional and will be deprecated in a future relase. Please use FPlayerIndexPlaybackCapability::GetPlayerIndex()
GetPolysInTile,"NAVIGATIONSYSTEM_API bool GetPolysInTile(int32 TileIndex, TArray<FNavPoly>& Polys) const;",Use the version of this function in ARecastNavMesh that takes a FNavTileRef instead.
GetPolysInTile,"NAVIGATIONSYSTEM_API bool GetPolysInTile(int32 TileIndex, TArray<FNavPoly>& Polys) const;",Use the version of this function that takes a FNavTileRef instead.
GetPropertyUpdatedWidget,"PROPERTYEDITOR_API virtual TSharedPtr<FPropertyUpdatedWidgetBuilder> GetPropertyUpdatedWidget(FResetToDefault ResetToDefault, bool bIsCategoryUpdateWidget = false, FName InCategoryObjectName = NAME_None);",Use ConstructPropertyUpdatedWidgetBuilder
GetPropertyUpdatedWidget,"PROPERTYEDITOR_API virtual TSharedPtr<FPropertyUpdatedWidgetBuilder> GetPropertyUpdatedWidget(FResetToDefault ResetToDefault, TSharedRef<FEditPropertyChain> InEditorPropertyChain, FName InCategoryObjectName);",Use ConstructPropertyUpdatedWidgetBuilder
GetRange,TRange<FFrameTime> GetRange() const,Please update your code to the new FMovieSceneSequenceTransform API. The closest analogue is FMovieSceneTimeWarpLoop.
GetRawData,"ENGINE_API static bool GetRawData(UTextureRenderTarget2D* TexRT, TArray64<uint8>& RawData);",Use GetRenderTargetImage
GetReadAccess,const TArray<uint8>& GetReadAccess() const,Use GetReadView
GetReferencedUniformBufferNames,"inline const TSet<const TCHAR*, TStringPointerSetKeyFuncs_DEPRECATED<const TCHAR*>>& GetReferencedUniformBufferNames() const","GetReferencedUniformBufferNames is deprecated, use GetReferencedUniformBuffers instead"
